Date,TempMax,TempMin
Lun. 1 janvier,12.8 ,9.1 
Mar. 2 janvier,13.1 ,7.7 
Mer. 3 janvier,18.6 ,9.7 
Jeu. 4 janvier,18.2 ,12.2 
Ven. 5 janvier,18.7 ,10.9 
Sam. 6 janvier,16 ,13.7 
Dim. 7 janvier,17.4 ,14.7 
Lun. 8 janvier,16.8 ,9.9 
Mar. 9 janvier,13.6 ,9.7 
Mer. 10 janvier,14.6 ,11.8 
Jeu. 11 janvier,12.2 ,8.2 
Ven. 12 janvier,13.7 ,3.4 
Sam. 13 janvier,12.9 ,4.6 
Dim. 14 janvier,12.2 ,8.8 
Lun. 15 janvier,13.9 ,8.6 
Mar. 16 janvier,15.5 ,9.9 
Mer. 17 janvier,12.8 ,10.9 
Jeu. 18 janvier,12.6 ,6.3 
Ven. 19 janvier,14.7 ,7.3 
Sam. 20 janvier,14.6 ,6.1 
Dim. 21 janvier,15.8 ,12.9 
Lun. 22 janvier,17.8 ,11.9 
Mar. 23 janvier,16.7 ,10.7 
Mer. 24 janvier,15.1 ,6.3 
Jeu. 25 janvier,14.3 ,10.9 
Ven. 26 janvier,13.8 ,11.5 
Sam. 27 janvier,14.9 ,10.3 
Dim. 28 janvier,14.3 ,6.4 
Lun. 29 janvier,13.9 ,6.1 
Mar. 30 janvier,14 ,5.3 
Mer. 31 janvier,12.1 ,5.2 
Jeu. 1 fevrier,9.8 ,8.5 
Ven. 2 fevrier,8.8 ,3.8 
Sam. 3 fevrier,9.3 ,5.1 
Dim. 4 fevrier,11.6 ,1.7 
Lun. 5 fevrier,11.9 ,7.2 
Mar. 6 fevrier,11.5 ,8.8 
Mer. 7 fevrier,7 ,2.6 
Jeu. 8 fevrier,7.6 ,2.6 
Ven. 9 fevrier,7.1 ,-0.6 
Sam. 10 fevrier,11.1 ,3.3 
Dim. 11 fevrier,11 ,2.4 
Lun. 12 fevrier,9 ,5.6 
Mar. 13 fevrier,7.6 ,-0.4 
Mer. 14 fevrier,10.6 ,3.3 
Jeu. 15 fevrier,11.5 ,4.7 
Ven. 16 fevrier,14.8 ,5.4 
Sam. 17 fevrier,13 ,10.6 
Dim. 18 fevrier,11.7 ,6.4 
Lun. 19 fevrier,12.7 ,5.9 
Mar. 20 fevrier,12.6 ,2.7 
Mer. 21 fevrier,9.7 ,2.3 
Jeu. 22 fevrier,9.6 ,0.8 
Ven. 23 fevrier,10.7 ,0.9 
Sam. 24 fevrier,8.9 ,4.4 
Dim. 25 fevrier,10.5 ,4.8 
Lun. 26 fevrier,6.3 ,0.2 
Mar. 27 fevrier,4.2 ,-0.9 
Mer. 28 fevrier,6.9 ,0.9 
Jeu. 1 mars,10.4 ,4.2 
Ven. 2 mars,13.7 ,5.2 
Sam. 3 mars,16.6 ,7.2 
Dim. 4 mars,14.1 ,7.3 
Lun. 5 mars,13.4 ,10.1 
Mar. 6 mars,13.2 ,8.4 
Mer. 7 mars,13.2 ,7.4 
Jeu. 8 mars,14.4 ,3.8 
Ven. 9 mars,15.6 ,6.3 
Sam. 10 mars,16.7 ,11.9 
Dim. 11 mars,16.8 ,14 
Lun. 12 mars,15.6 ,11.6 
Mar. 13 mars,13.6 ,9.3 
Mer. 14 mars,15.9 ,5.1 
Jeu. 15 mars,15.2 ,13.1 
Ven. 16 mars,16.7 ,8.6 
Sam. 17 mars,12.8 ,8.3 
Dim. 18 mars,13.2 ,7.5 
Lun. 19 mars,13.7 ,5.9 
Mar. 20 mars,12.7 ,5.1 
Mer. 21 mars,10.3 ,1.2 
Jeu. 22 mars,13.3 ,1.1 
Ven. 23 mars,15 ,6 
Sam. 24 mars,14.6 ,5.1 
Dim. 25 mars,14.1 ,9.1 
Lun. 26 mars,18.3 ,5.2 
Mar. 27 mars,15.7 ,9.4 
Mer. 28 mars,17.9 ,11.8 
Jeu. 29 mars,17.4 ,12.2 
Ven. 30 mars,16.4 ,8.5 
Sam. 31 mars,16.5 ,8.7 
Dim. 1 avril,15.9 ,8.5 
Lun. 2 avril,16.7 ,7.4 
Mar. 3 avril,19.4 ,13.4 
Mer. 4 avril,17.8 ,14.3 
Jeu. 5 avril,18.6 ,11.1 
Ven. 6 avril,18.8 ,8.1 
Sam. 7 avril,22.2 ,13.6 
Dim. 8 avril,20.9 ,16.6 
Lun. 9 avril,17 ,12.7 
Mar. 10 avril,14.8 ,13.4 
Mer. 11 avril,13.7 ,9.1 
Jeu. 12 avril,13.6 ,9.1 
Ven. 13 avril,16.9 ,9.2 
Sam. 14 avril,19.6 ,13.5 
Dim. 15 avril,21.2 ,11.2 
Lun. 16 avril,22.2 ,11 
Mar. 17 avril,22.9 ,11.6 
Mer. 18 avril,25.3 ,13.8 
Jeu. 19 avril,25.3 ,13.8 
Ven. 20 avril,25.2 ,13.3 
Sam. 21 avril,26.5 ,13.8 
Dim. 22 avril,24.1 ,12.2 
Lun. 23 avril,23.1 ,12.4 
Mar. 24 avril,24.1 ,15.9 
Mer. 25 avril,21.8 ,13.2 
Jeu. 26 avril,24.2 ,16.6 
Ven. 27 avril,21.5 ,13.4 
Sam. 28 avril,20.4 ,12.9 
Dim. 29 avril,20.3 ,14.3 
Lun. 30 avril,18.2 ,10.1 
Mar. 1 mai,17.1 ,10.9 
Mer. 2 mai,20.6 ,11.4 
Jeu. 3 mai,22.4 ,12.9 
Ven. 4 mai,21.7 ,15.1 
Sam. 5 mai,21.8 ,15.4 
Dim. 6 mai,23.1 ,15.5 
Lun. 7 mai,22.1 ,14.8 
Mar. 8 mai,22.2 ,16.5 
Mer. 9 mai,21.9 ,15.9 
Jeu. 10 mai,23.6 ,14.9 
Ven. 11 mai,20.2 ,12.2 
Sam. 12 mai,21.6 ,15.1 
Dim. 13 mai,12.8 ,8.3 
Lun. 14 mai,14.3 ,8.3 
Mar. 15 mai,20.9 ,11.2 
Mer. 16 mai,20.7 ,11.4 
Jeu. 17 mai,20.6 ,12.4 
Ven. 18 mai,21.4 ,13.2 
Sam. 19 mai,25.5 ,14.2 
Dim. 20 mai,24.1 ,14.6 
Lun. 21 mai,24.3 ,14.6 
Mar. 22 mai,19.4 ,16.1 
Mer. 23 mai,22.8 ,14 
Jeu. 24 mai,23.9 ,14.8 
Ven. 25 mai,26.1 ,14.8 
Sam. 26 mai,27.9 ,17.2 
Dim. 27 mai,29.2 ,21.3 
Lun. 28 mai,22.7 ,19.6 
Mar. 29 mai,24.8 ,16.7 
Mer. 30 mai,24.9 ,18.7 
Jeu. 31 mai,22.8 ,19.1 
Ven. 1 juin,23.3 ,17.3 
Sam. 2 juin,24.7 ,17.1 
Dim. 3 juin,24.3 ,18.7 
Lun. 4 juin,23.1 ,17.1 
Mar. 5 juin,24.1 ,16.5 
Mer. 6 juin,24.8 ,17.9 
Jeu. 7 juin,20.1 ,17.3 
Ven. 8 juin,24 ,17.2 
Sam. 9 juin,25.8 ,16.2 
Dim. 10 juin,28.7 ,16.9 
Lun. 11 juin,25 ,19.3 
Mar. 12 juin,23.6 ,18.4 
Mer. 13 juin,23.9 ,17.2 
Jeu. 14 juin,26.3 ,16.5 
Ven. 15 juin,27.8 ,18.1 
Sam. 16 juin,28.5 ,17.2 
Dim. 17 juin,27.8 ,20.8 
Lun. 18 juin,29.7 ,19.2 
Mar. 19 juin,29.4 ,19.9 
Mer. 20 juin,30.9 ,20.9 
Jeu. 21 juin,28.9 ,21.7 
Ven. 22 juin,27.9 ,20.3 
Sam. 23 juin,26.8 ,18.4 
Dim. 24 juin,27.2 ,17.6 
Lun. 25 juin,27.1 ,16.7 
Mar. 26 juin,27.3 ,18.3 
Mer. 27 juin,25.9 ,17.4 
Jeu. 28 juin,26.4 ,19.5 
Ven. 29 juin,26.2 ,17.7 
Sam. 30 juin,28.9 ,18.3 
Dim. 1 juillet,31.8 ,19.4 
Lun. 2 juillet,29.4 ,21 
Mar. 3 juillet,28.7 ,22.7 
Mer. 4 juillet,30.6 ,21.8 
Jeu. 5 juillet,30.9 ,21.4 
Ven. 6 juillet,30.1 ,22.1 
Sam. 7 juillet,30.8 ,21.2 
Dim. 8 juillet,29.6 ,20.2 
Lun. 9 juillet,28.7 ,21.1 
Mar. 10 juillet,31.2 ,20.1 
Mer. 11 juillet,29.5 ,21.8 
Jeu. 12 juillet,29.1 ,19 
Ven. 13 juillet,30.3 ,19.8 
Sam. 14 juillet,30.1 ,23.4 
Dim. 15 juillet,32.4 ,21 
Lun. 16 juillet,26.2 ,18.4 
Mar. 17 juillet,32.9 ,20.7 
Mer. 18 juillet,30.4 ,18.9 
Jeu. 19 juillet,29.8 ,21.9 
Ven. 20 juillet,31.4 ,19.9 
Sam. 21 juillet,28 ,19.8 
Dim. 22 juillet,26.1 ,20.4 
Lun. 23 juillet,30.1 ,21.7 
Mar. 24 juillet,30.9 ,20.2 
Mer. 25 juillet,30.5 ,20.6 
Jeu. 26 juillet,31.2 ,21.6 
Ven. 27 juillet,31.7 ,22.1 
Sam. 28 juillet,28.8 ,22.9 
Dim. 29 juillet,31.1 ,22.4 
Lun. 30 juillet,29.4 ,21.5 
Mar. 31 juillet,30.9 ,22.8 
Mer. 1 aout,33.1 ,23.3 
Jeu. 2 aout,34.6 ,24.1 
Ven. 3 aout,33.3 ,25 
Sam. 4 aout,33 ,24.4 
Dim. 5 aout,34.5 ,25.6 
Lun. 6 aout,33 ,23.8 
Mar. 7 aout,31 ,23.2 
Mer. 8 aout,30.3 ,23.8 
Jeu. 9 aout,28.1 ,19.9 
Ven. 10 aout,30.5 ,19.7 
Sam. 11 aout,30.2 ,20.5 
Dim. 12 aout,30.5 ,18.1 
Lun. 13 aout,27.3 ,19.1 
Mar. 14 aout,28.8 ,21.4 
Mer. 15 aout,28.9 ,18.8 
Jeu. 16 aout,30.2 ,19.3 
Ven. 17 aout,29.6 ,18.8 
Sam. 18 aout,28.4 ,19.3 
Dim. 19 aout,30.6 ,20.4 
Lun. 20 aout,30.7 ,20.7 
Mar. 21 aout,30.9 ,21.3 
Mer. 22 aout,32.8 ,22.1 
Jeu. 23 aout,31 ,20.2 
Ven. 24 aout,29.4 ,23.7 
Sam. 25 aout,24.2 ,20.1 
Dim. 26 aout,25.4 ,16.1 
Lun. 27 aout,26.7 ,14.8 
Mar. 28 aout,29.3 ,16.9 
Mer. 29 aout,26.8 ,20.2 
Jeu. 30 aout,26 ,20.5 
Ven. 31 aout,27.3 ,19.1 
Sam. 1 septembre,25.9 ,17.2 
Dim. 2 septembre,25.6 ,15.9 
Lun. 3 septembre,26 ,15.4 
Mar. 4 septembre,26.6 ,16.5 
Mer. 5 septembre,26.7 ,17.2 
Jeu. 6 septembre,25.6 ,19.2 
Ven. 7 septembre,28 ,19.3 
Sam. 8 septembre,26.2 ,16.1 
Dim. 9 septembre,27.6 ,18.2 
Lun. 10 septembre,27.6 ,18.8 
Ven. 14 septembre,24.6 ,18.8
Sam. 15 septembre,27.5 ,18.9 
Dim. 16 septembre,26.7 ,20.2 
Lun. 17 septembre,27.3 ,18.6 
Mar. 18 septembre,27.8 ,18.7 
Mer. 19 septembre,28.4 ,19.2 
Jeu. 20 septembre,29.6 ,18.6 
Ven. 21 septembre,28.9 ,18.6 
Sam. 22 septembre,28.6 ,17 
Dim. 23 septembre,29.8 ,20.8 
Lun. 24 septembre,21.9 ,17.4 
Mar. 25 septembre,25.1 ,16.6 
Mer. 26 septembre,23.9 ,15.1 
Jeu. 27 septembre,21.9 ,12.9 
Ven. 28 septembre,25.2 ,12.8 
Sam. 29 septembre,26.4 ,15.5 
Dim. 30 septembre,25 ,15.6 
Lun. 1 octobre,18.7 ,14.9 
Mar. 2 octobre,22.1 ,12.4 
Mer. 3 octobre,24.7 ,11.5 
Jeu. 4 octobre,25.2 ,14.7 
Ven. 5 octobre,26.3 ,14.5 
Sam. 6 octobre,23 ,15.9 
Dim. 7 octobre,20.2 ,13.8 
Lun. 8 octobre,22.2 ,15.2 
Mar. 9 octobre,26.2 ,16.8 
Mer. 10 octobre,22 ,17.7 
Jeu. 11 octobre,23.6 ,17.5 
Ven. 12 octobre,23.7 ,17.9 
Sam. 13 octobre,24.5 ,14.6 
Dim. 14 octobre,22.4 ,18.8 
Lun. 15 octobre,22.2 ,17.5 
Mar. 16 octobre,21.5 ,16.6 
Mer. 17 octobre,23.2 ,16.1 
Jeu. 18 octobre,24.3 ,17.1 
Ven. 19 octobre,24.8 ,16.2 
Sam. 20 octobre,24.2 ,14.8 
Dim. 21 octobre,23.2 ,13.6 
Lun. 22 octobre,19.4 ,14.8 
Mar. 23 octobre,21.2 ,10.9 
Mer. 24 octobre,24.1 ,10.2 
Jeu. 25 octobre,22.2 ,11.5 
Ven. 26 octobre,22.3 ,13.3 
Sam. 27 octobre,16.1 ,11.7 
Dim. 28 octobre,14.8 ,9.5 
Lun. 29 octobre,12.6 ,7.5 
Mar. 30 octobre,15.5 ,6.4 
Mer. 31 octobre,17.6 ,12.3 
Jeu. 1 novembre,18.6 ,12.9 
Ven. 2 novembre,15.9 ,12.4 
Sam. 3 novembre,19.1 ,10.2 
Dim. 4 novembre,20.3 ,13.4 
Lun. 5 novembre,19.6 ,16.8 
Mar. 6 novembre,17.5 ,14.3 
Mer. 7 novembre,17.4 ,12.9 
Jeu. 8 novembre,19.5 ,13.9 
Ven. 9 novembre,18.7 ,15.7 
Sam. 10 novembre,17.9 ,15.9 
Dim. 11 novembre,19.1 ,17.1 
Lun. 12 novembre,19.6 ,17.9 
Mar. 13 novembre,21.9 ,17.7 
Mer. 14 novembre,21.1 ,13.7 
Jeu. 15 novembre,19.9 ,13.8 
Ven. 16 novembre,17.8 ,9.8 
Sam. 17 novembre,14.3 ,13.2 
Dim. 18 novembre,15.4 ,10.1 
Lun. 19 novembre,13.8 ,4.3 
Mar. 20 novembre,13.7 ,6.3 
Mer. 21 novembre,15.1 ,11.6 
Jeu. 22 novembre,17.3 ,11.2 
Ven. 23 novembre,16.6 ,12.9 
Sam. 24 novembre,15.4 ,11.1 
Dim. 25 novembre,14.8 ,6.6 
Lun. 26 novembre,11.6 ,5.6 
Mar. 27 novembre,12.1 ,8.6 
Mer. 28 novembre,16 ,4.3 
Jeu. 29 novembre,16.7 ,6.5 
Ven. 30 novembre,13.8 ,10.2 
Sam. 1 decembre,15.2 ,5.6 
Dim. 2 decembre,14.2 ,5.9 
Lun. 3 decembre,16.6 ,11.2 
Mar. 4 decembre,17.8 ,12.9 
Mer. 5 decembre,19.4 ,8.6 
Jeu. 6 decembre,17.7 ,8.8 
Ven. 7 decembre,15.4 ,7.8 
Sam. 8 decembre,14 ,9.1 
Dim. 9 decembre,16.6 ,10.4 
Lun. 10 decembre,13.4 ,9.4 
Mar. 11 decembre,14 ,7.1 
Mer. 12 decembre,12.6 ,5.7 
Jeu. 13 decembre,10.3 ,6.1 
Ven. 14 decembre,10.7 ,7.5 
Sam. 15 decembre,10 ,-0.1 
Dim. 16 decembre,10.2 ,6.7 
Lun. 17 decembre,13 ,7.6 
Mar. 18 decembre,14.4 ,4.2 
Mer. 19 decembre,14.3 ,12.1 
Jeu. 20 decembre,12.7 ,5.6 
Ven. 21 decembre,15.1 ,4.3 
Sam. 22 decembre,16 ,8.2 
Dim. 23 decembre,17.3 ,11.5 
Lun. 24 decembre,17.9 ,12.1 
Mar. 25 decembre,16.6 ,7.5 
Mer. 26 decembre,14.1 ,4.6 
Jeu. 27 decembre,14.4 ,4.7 
Ven. 28 decembre,11.8 ,3.9 
Sam. 29 decembre,13.4 ,3.3 
Dim. 30 decembre,13.1 ,1.7 
Lun. 31 decembre,14.4 ,4.6 
